location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Electronic City Phase II,1056.0,2,1,39.07,2,3699.81
Chikka Tirupathi,2600.0,5,3,120.0,4,4615.38
Uttarahalli,1440.0,2,3,62.0,3,4305.56
Lingadheeranahalli,1521.0,3,1,95.0,3,6245.89
Kothanur,1200.0,2,1,51.0,2,4250.0
Whitefield,1170.0,2,1,38.0,2,3247.86
Old Airport Road,2732.0,4,2,204.0,4,7467.06
Rajaji Nagar,3300.0,4,2,600.0,4,18181.82
Marathahalli,1310.0,3,1,63.25,3,4828.24
Whitefield,1800.0,2,2,70.0,3,3888.89
Whitefield,2785.0,5,3,295.0,4,10592.46
7th Phase JP Nagar,1000.0,2,1,38.0,2,3800.0
Gottigere,1100.0,2,2,40.0,2,3636.36
Sarjapur,2250.0,3,2,148.0,3,6577.78
Mysore Road,1175.0,2,2,73.5,2,6255.32
Bisuvanahalli,1180.0,3,2,48.0,3,4067.8
Raja Rajeshwari Nagar,1540.0,3,3,60.0,3,3896.1
Other,2770.0,4,2,290.0,3,10469.31
Other,1100.0,2,2,48.0,2,4363.64
Kengeri,600.0,1,1,15.0,1,2500.0
Binny Pete,1755.0,3,1,122.0,3,6951.57
Thanisandra,2800.0,5,2,380.0,4,13571.43
Bellandur,1767.0,3,1,103.0,3,5829.09
Thanisandra,510.0,1,0,25.25,1,4950.98
Other,1250.0,3,2,56.0,3,4480.0
Electronic City,660.0,1,1,23.1,2,3500.0
Whitefield,1610.0,3,2,81.0,3,5031.06
Ramagondanahalli,1151.0,2,2,48.77,2,4237.19
Electronic City,1025.0,2,1,47.0,3,4585.37
Yelahanka,2475.0,4,0,186.0,4,7515.15
Bisuvanahalli,1075.0,2,1,35.0,3,3255.81
Hebbal,1760.0,2,2,123.0,3,6988.64
Raja Rajeshwari Nagar,1693.0,3,3,57.39,3,3389.84
Kasturi Nagar,1925.0,3,2,125.0,3,6493.51
Kanakpura Road,700.0,2,1,36.0,2,5142.86
Electronics City Phase 1,1070.0,2,1,45.5,2,4252.34
Kundalahalli,1724.0,3,2,125.0,3,7250.58
Chikkalasandra,1290.0,2,2,56.12,3,4350.39
Uttarahalli,1143.0,2,2,45.0,2,3937.01
Murugeshpalya,1296.0,2,2,81.0,2,6250.0
Sarjapur  Road,1254.0,3,2,38.0,3,3030.3
Other,600.0,1,0,38.0,1,6333.33
Yelahanka,660.0,1,0,48.0,1,7272.73
Kanakpura Road,1330.74,2,2,91.79,2,6897.67
Doddathoguru,970.0,2,0,33.0,2,3402.06
Whitefield,1459.0,2,1,94.82,2,6498.97
KR Puram,800.0,1,1,130.0,2,16250.0
Other,869.0,2,1,36.0,2,4142.69
Other,1270.0,2,1,50.0,2,3937.01
Bhoganhalli,1670.0,3,1,99.0,3,5928.14
Whitefield,2010.0,3,2,91.0,3,4527.36
Lakshminarayana Pura,1185.0,2,2,75.0,2,6329.11
Yelahanka,1600.0,2,3,75.0,3,4687.5
Begur Road,1200.0,2,2,44.0,2,3666.67
Devanahalli,3210.0,2,2,192.0,4,5981.31
Other,1500.0,2,2,185.0,2,12333.33
Other,840.0,2,2,45.0,2,5357.14
Other,4395.0,3,2,240.0,3,5460.75
Other,845.0,2,1,55.0,2,6508.88
Whitefield,5700.0,5,3,650.0,4,11403.51
Varthur,1160.0,2,2,44.0,2,3793.1
Bommanahalli,3000.0,8,0,140.0,8,4666.67
Doddathoguru,1100.0,2,1,62.0,2,5636.36
Gunjur,1140.0,2,3,43.0,2,3771.93
Marathahalli,1220.0,2,1,57.0,2,4672.13
Kanakpura Road,1005.0,2,1,36.68,2,3649.75
Begur Road,1358.0,2,1,80.58,2,5933.73
Hegde Nagar,1569.0,3,1,101.0,3,6437.22
Haralur Road,1240.0,2,1,70.0,2,5645.16
Hennur Road,2089.0,3,2,140.0,3,6701.77
Kothannur,1206.0,2,1,48.23,2,3999.17
Kalena Agrahara,1150.0,2,3,40.0,2,3478.26
Other,2511.0,3,3,205.0,3,8164.08
ISRO Layout,4400.0,6,3,250.0,6,5681.82
Other,1660.0,2,2,105.0,3,6325.3
Hennur Road,3203.5,2,2,224.5,4,7007.96
Yelahanka,1326.0,2,2,78.0,2,5882.35
Garudachar Palya,1325.0,2,2,60.8,3,4588.68
Hegde Nagar,3000.0,7,2,210.0,6,7000.0
Kanakpura Road,1665.0,3,2,88.0,3,5285.29
Dasanapura,708.0,2,2,37.0,2,5225.99
Kasavanhalli,1060.0,2,2,58.06,2,5477.36
Sanjay nagar,1000.0,2,2,70.0,2,7000.0
Electronic City,1000.0,2,1,28.88,2,2888.0
Other,1450.0,2,2,70.0,3,4827.59
ISRO Layout,1200.0,4,2,155.0,4,12916.67
Thanisandra,1296.0,2,3,80.0,2,6172.84
Domlur,1540.0,3,2,90.0,3,5844.16
Kengeri,2894.0,4,1,245.0,4,8465.79
Sarjapura - Attibele Road,1330.0,2,1,48.0,3,3609.02
Other,1200.0,2,1,65.0,2,5416.67
Other,1200.0,3,1,90.0,3,7500.0
Yeshwanthpur,2502.0,3,3,138.0,3,5515.59
Chandapura,650.0,1,1,17.0,2,2615.38
Kothanur,2400.0,2,1,150.0,3,6250.0
Other,1007.0,2,2,43.0,2,4270.11
Other,1200.0,2,2,50.0,2,4166.67
Other,966.0,2,2,49.9,2,5165.63
Nagarbhavi,1630.0,2,1,98.0,3,6012.27
Rajaji Nagar,1640.0,3,2,229.0,3,13963.41
Other,782.0,2,2,55.68,2,7120.2
Devanahalli,1260.0,2,2,66.78,2,5300.0
Other,1800.0,3,3,120.0,3,6666.67
Other,1413.0,2,2,75.0,3,5307.86
Whitefield,1116.0,2,1,51.91,2,4651.43
Electronic City,1530.0,2,1,45.9,3,3000.0
Ramamurthy Nagar,3700.0,4,1,225.0,4,6081.08
